RIC_Olink_1,RIC_Olink_2,RIC_Olink_3
7.08288,7.14252,7.22566
3.59134,3.91623,3.21752
1.26614,,1.07336
3.44293,3.81972,3.234
12.92245,12.98797,12.68409
2.53457,2.32097,2.42361
,1.55505,1.88426
1.9152,1.80498,1.27832
4.31312,,4.00785
8.06221,7.74991,8.09869
0.24135,0.35413,0.13982
4.67462,4.26923,4.35488
,0.7569,
0.30859,,0.58716
1.98488,1.99064,1.40842
9.1014,8.96032,8.88611
8.96265,9.04256,8.87228
3.55738,3.03811,3.42323
6.29315,5.80942,5.97736
3.69388,3.99075,4.00331
11.89937,11.58072,11.54151
3.51015,3.48779,3.45628
9.18121,8.81991,9.11594
-0.12825,0.05224,-0.11788
14.30346,13.88924,14.00679
1.47039,1.03745,0.58522
6.52992,6.06156,6.24153
9.31181,9.22059,9.31744
3.18995,2.66383,2.55304
11.30155,10.85815,11.01423
10.12904,9.8184,9.93878
11.35128,11.02271,11.11864
2.50853,1.82592,1.6955
15.29306,14.63397,15.2337
-0.12887,0.05189,-0.09725
10.73411,10.67019,11.03419
4.74847,4.49283,4.43602
6.34339,6.58291,6.19752
6.69922,6.42818,6.52307
5.07245,4.95525,5.09031
7.89647,7.68066,8.04161
2.68546,,2.52376
8.29953,7.8907,8.12059
1.0817,0.51421,0.06812
0,0,0
7.12507,7.00349,7.00143
3.8058,3.91037,3.29461
1.46264,,1.39922
4.15664,3.51228,3.45631
13.04315,12.80462,12.83821
2.68293,1.99481,2.00465
,2.91244,1.95808
1.89403,2.35274,1.86227
4.17398,,4.19645
8.12642,7.54579,8.10662
0.29189,0.42679,0.835
4.56936,4.19405,4.37207
,2.32552,
0.74162,,0.46249
1.43795,1.48294,2.3533
9.0591,8.72406,8.91296
8.91186,8.86076,9.15307
3.54746,3.14501,3.52278
6.36234,5.75599,6.11305
3.99857,3.76416,4.09163
11.92093,11.66098,11.7658
3.71151,3.48522,3.61976
9.10497,8.82505,9.23393
-0.09118,-0.0394,-0.03044
14.221,13.8703,14.10332
1.11515,0.15018,0.23965
6.52584,6.04633,6.26006
9.38698,9.21228,9.42872
3.09167,2.67727,3.27663
11.27729,10.97084,11.22319
10.20806,9.80201,10.05553
11.36486,11.05841,11.34014
1.99984,1.33044,2.64129
15.31409,14.79822,15.30615
-0.03618,-0.01286,-0.02525
