SampleID,Assay,NPX_Run1,NPX_Run2,NPX_Run3,pg/mL_Run1,pg/mL_Run2,pg/mL_Run3
Sample_6,ITGAM,10.18354,9.72305,10.09588,9763.33852,6861.5403,9116.55618
Sample_6,MMP10,11.41962,10.92195,11.3361,251.82916,180.83731,238.16567
Sample_6,SNCAIP,2.01514,1.95344,2.64,3.15517,2.94661,5.91913
Sample_6,TREM2,15.30347,14.52233,15.45405,19409.28215,11362.54813,21560.8034
Sample_6,Det Ctrl,-0.06601,-0.08999,-0.01556,,,
Sample_6,ITGB2,10.78424,10.5646,10.90559,39604.05396,34520.88664,42744.03161
Sample_6,SMOC1,4.51143,4.35582,5.00165,840.85966,771.99272,1096.56522
Sample_6,BACE1,6.49467,6.36712,6.5792,594.73791,548.40647,627.4837
Sample_6,SCG2,6.65988,6.33937,6.7515,1914.95099,1570.28781,2027.05899
Sample_6,BMP7,5.25738,4.71097,5.15856,2825.21141,1988.69176,2653.9529
Sample_6,NPTX1,7.76572,7.49108,8.08857,6099.40982,5178.55677,7400.13825
Sample_6,HLA-DRA,2.95004,,2.84521,499.29379,,457.58255
Sample_6,EIF2AK2,8.33225,7.71832,8.31749,30955.70794,21573.88495,30685.7469
Sample_6,LRRK2,0.06248,0.44642,0.7535,330.67782,481.67378,633.70005
Sample_6,Ext Ctrl,0,0,0,,,
Sample_6,SDC4,6.93683,6.93819,7.36218,5435.02254,5439.81458,7167.12347
Sample_6,NEFL,3.68422,3.52636,3.81896,423.68298,378.29289,465.80209
Sample_6,GDNF,1.4002,,1.3902,0.03464,,0.03398
Sample_6,CLSTN3,3.6399,2.81746,3.20467,372.26608,224.70201,286.2874
Sample_6,AGER,12.9476,12.65786,12.93333,1798.73753,1470.69767,1780.90344
Sample_6,TP53,2.41323,2.42378,2.22161,0.30762,0.3105,0.25885
Sample_6,Abeta40,,1.83061,1.5431,,2.14538,1.55557
Sample_6,pTau217,1.78455,1.7737,2.39443,0.10532,0.10417,0.18784
Sample_6,GFAP,4.47426,,3.89956,20.69914,,12.98337
Sample_6,GLRX,8.14123,7.41931,8.17387,538.80642,336.64636,550.65448
Sample_6,WWOX,0.14142,0.09899,0.50061,0.07524,0.04851,0.40343
Sample_6,RTN4R,4.64602,4.05245,4.48527,583.68184,407.19777,529.93878
Sample_6,Abeta42,,1.65786,,,7.99505,
Sample_6,NGF,0.67024,,0.42802,0.4554,,0.24078
Sample_6,NLGN1,1.18598,1.82241,1.99846,39.4354,91.19745,111.03795
Sample_6,NPTX2,8.8517,8.47163,8.99757,7391.46801,5803.92743,8114.39227
Sample_6,MOG,8.78126,8.55002,8.97939,32.08962,27.72897,36.3848
Sample_7,VSNL1,3.5946,3.02766,,36.07861,23.55499,
